chain,chain_id,symbol,name,address,amount,decimals,price_usd,value_usd,pool_size,low_liquidity
zora,7777777,ETH,,native,8600000000000,18,2341.945698,0.0201407330028,,
zksync,324,ETH,,native,7883570000000,18,2340.778717,0.01845369286997969,,
ethereum,1,DGMT,DigiMax,0x0d4b4da5fb1a7d55e85f8e22f728701ceb6e44c9,1937822755740000000000,18,7.612684032742e-06,0.014752032350905999,150.1566109100199,True
ethereum,1,ISLA,Insula,0x697ef32b4a3f5a4c39de1cb7563f24ca7bfc5947,1000000000000000000,18,0.012805813515995829,0.012805813515995829,1292.7038293750356,True
ethereum,1,BRK,BRK690k,0x364c65347bdd77e6196fad96d42dbbd6d55cf719,30000000000000,18,402.8033719905252,0.012084101159715756,7310.681870573559,True
ethereum,1,UDAO,UnionDAO,0x4a32e09c60af50f0a5869bf5c622f4e5d57c3b37,1000000000000000008,18,0.0060578676647817156,0.0060578676647817156,647.4728179348073,True
ethereum,1,UMI,UmiToken,0x61107a409fffe1965126aa456af679719695c69c,10000000000000000000000,18,5.587665241978163e-07,0.0055876652419781635,1480.4858757619234,True
ethereum,1,TSUKA,Dejitaru Tsuka,0xc5fb36dd2fb59d3b98deff88425a3f425ee469ed,1000000000,9,0.003941843992605608,0.003941843992605608,1335.449592321353,True
ethereum,1,BABYTRUMP,BABYTRUMP,0x354c8cda7e3b737d360513a0dc5abcee8ee1cea3,1013773507542988635,18,0.003206061699232995,0.003250220414230668,21182.513408998264,
base,8453,XOLO,Xoloitzcuintli,0xf7cebf7df90a1c59fd0347c41b983846ca8bc76a,1150000000000000000000,18,2.144627062896684e-06,0.0024663211223311865,170.78485274205056,True
ethereum,1,GAGA,Gaga (Pepe),0xb29dc1703facd2967bb8ade2e392385644c6dca9,7829720320000000000000000,18,3.0517036088724e-10,0.0023893985757005563,25568.822744026584,
base,8453,SERAPH,Seraph by Virtuals,0x4f81837c2f4a189a0b69370027cc2627d93785b4,1000000000000000000,18,0.0020281586168830242,0.0020281586168830242,768.7618371456465,True
polygon,137,AIPEPE,AI Pepe King,0xbac3368b5110f3a3dda8b5a0f7b66edb37c47afe,10000000000000000000000000,18,1.9828446769422e-10,0.0019828446769422,1118.7019806191302,True
polygon,137,ABC,ABCToken,0xce899f5fcf55b0c1d7478910f812cfe68c5bcf0f,1000000000000000000,18,0.0016204858417406612,0.0016204858417406612,424.4708709364478,True
bnb,56,FREE,FREE coin BSC,0x12e34cdf6a031a10fe241864c32fb03a4fdad739,9675000000000000000000,18,8.281190295733309e-08,0.0008012051611121976,24525.413397506203,
base,8453,SNL,Snow Leopard,0xc5a861787f3e173f2b004d5cfa6a717f5dc5484d,23600000000000000000000,18,3.16380558679776e-08,0.0007466581184842713,8902.757650643112,True
ethereum,1,APU,Apu Apustaja,0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,2000000000000000000,18,0.00024628549553636477,0.0004925709910727295,1422620.9119044961,
ethereum,1,WAMPL,Wrapped Ampleforth,0xedb171c18ce90b633db442f2a6f72874093b49ef,100000000000000,18,4.780183303883811,0.000478018330388381,483711.093975169,
ethereum,1,YFL,YFLink,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,69000000000000,18,5.207840806360338,0.0003593410156388633,3313.2874787645915,True
ethereum,1,BEND,Bend Token,0x0d02755a5700414b26ff040e1de35d337df56218,2000000000000000000,18,0.00017317528362731726,0.00034635056725463453,38309.59002349462,
